feature,fval,shift,disc_rank,shift_good_rank,score
wl_dom,243.01807044509042,0.08407725099473419,0.9516129032258065,0.7580645161290323,0.8838709677419356
mav_dom,257.61628280456205,0.131683316378573,0.9838709677419355,0.5725806451612904,0.8399193548387097
iemg_ratio,194.27799844742833,0.06519288966226273,0.8387096774193549,0.8225806451612904,0.8330645161290322
iemg_dom,257.616282804562,0.131683316378573,0.967741935483871,0.5725806451612904,0.8294354838709678
mav_ratio,194.2779984474279,0.06519288966226247,0.8225806451612904,0.8387096774193549,0.828225806451613
rms_ratio_ch2,241.94332633473883,0.12483654802317397,0.9354838709677419,0.6129032258064516,0.8225806451612903
rms_dom,241.94332633473707,0.12483654802317375,0.9193548387096774,0.6290322580645161,0.8177419354838709
wl_ratio,210.68985914878195,0.09427734745782808,0.8548387096774194,0.7419354838709677,0.8153225806451613
rms_ratio_ch1,241.94332633473397,0.12483654802317368,0.9032258064516129,0.6451612903225806,0.8129032258064517
rms_log_ratio,226.6594016700884,0.11407704090229794,0.8709677419354839,0.6774193548387096,0.8032258064516129
ratio_rms,181.12549811496513,0.08289133964703516,0.8064516129032258,0.7741935483870968,0.7951612903225806
diff_rms,139.89464203408417,0.11028754552086333,0.7580645161290323,0.7096774193548387,0.7411290322580645
peak_ratio,135.95452186726655,0.11391959199877438,0.7419354838709677,0.6935483870967742,0.7250000000000001
mav_ch1,261.40039712104107,0.7700715148261525,1.0,0.04838709677419355,0.6669354838709678
mf_ratio,23.14172433343751,0.03603522687806042,0.5161290322580645,0.9193548387096774,0.657258064516129
mf_ch2,20.67143724770174,0.05592603414767351,0.5,0.8709677419354839,0.6298387096774194
var_ratio,90.96272040857541,0.23480346561758092,0.6935483870967742,0.46774193548387094,0.614516129032258
zc_dom,60.51084618095175,0.20211088604792846,0.6612903225806451,0.5161290322580645,0.6104838709677419
rms_ch1,234.78752104785056,0.7147523983406225,0.8870967741935484,0.06451612903225806,0.5991935483870968
pf_ch2,19.9800723696477,0.0810517571774924,0.4838709677419355,0.7903225806451613,0.5911290322580645
zc_ratio,57.75968128210504,0.22152761912460042,0.6451612903225806,0.4838709677419355,0.5887096774193549
mf_ch1,10.889960688145829,0.025705295440805253,0.3870967741935484,0.9516129032258065,0.5846774193548387
var_ch1,177.7895976166124,0.5970022011048233,0.7903225806451613,0.1774193548387097,0.5758064516129032
wl_ch1,75.52486558334535,0.41588993999198604,0.6774193548387096,0.3709677419354839,0.5701612903225806
ssc_dom,107.53304965629458,0.5097941748795949,0.7258064516129032,0.27419354838709675,0.567741935483871
iemg_ch1,155.06450945030926,0.6329153517660814,0.7741935483870968,0.14516129032258066,0.5540322580645161
ssc_ratio,101.19428600405351,0.5396598103685853,0.7096774193548387,0.22580645161290322,0.5403225806451613
mdf_ratio,29.594828507316727,0.2559373984415852,0.5806451612903226,0.45161290322580644,0.535483870967742
wl_ch2,27.110538615998696,0.32020221118284997,0.5483870967741935,0.41935483870967744,0.5032258064516129
iemg_ch2,32.415116753675846,0.4651346477605736,0.5967741935483871,0.3064516129032258,0.49516129032258066
mdf_ch2,4.677439777684355,0.01774182702246015,0.20967741935483872,1.0,0.48629032258064514
mav_ch2,39.593472337159945,0.5939433889141751,0.6290322580645161,0.1935483870967742,0.47661290322580646
rms_ch2,39.25113460841039,0.5513362492930486,0.6129032258064516,0.20967741935483872,0.4717741935483871
mdf_ch1,12.104105267288995,0.2153445410529022,0.4032258064516129,0.5,0.43709677419354837
ch1_env_skew,28.818633613285453,0.6282174980620384,0.5645161290322581,0.16129032258064516,0.4233870967741936
var_ch2,15.096119517963889,0.3788764152079647,0.43548387096774194,0.3870967741935484,0.4185483870967742
