test_subject,samples,present_classes,precision_macro,recall_macro,f1_macro,accuracy
01,21,"前平举,推肩",1.0,1.0,1.0,1.0
02,18,"前平举,侧平举,推肩",1.0,1.0,1.0,1.0
03,30,"前平举,侧平举,推肩",0.9743589743589745,0.9583333333333334,0.9644444444444445,0.9666666666666667
04,6,"前平举,推肩",0.3333333333333333,0.5,0.4,0.6666666666666666
05,19,"侧平举,推肩",1.0,1.0,1.0,1.0
06,21,"前平举,推肩",1.0,1.0,1.0,1.0
07,21,"前平举,推肩",1.0,1.0,1.0,1.0
08,11,前平举,1.0,1.0,1.0,1.0
09,16,"前平举,侧平举,推肩",1.0,1.0,1.0,1.0
11,5,侧平举,1.0,1.0,1.0,1.0
13,3,"前平举,侧平举",1.0,1.0,1.0,1.0
14,1,前平举,1.0,1.0,1.0,1.0
15,2,前平举,1.0,1.0,1.0,1.0
